item_code,q_no,scale_group,item_text,item_short,high_stress_group,high_stress_label,n,mean_score,item_order
v091_num,Q32.a,Q32,My supervisor â¦ Makes time for frank conversations about my career    [numeric],My supervisor â¦ Makes time for frank conversations about my career,0,Non-high-stress,2058,2.7653061224489797,0
v091_num,Q32.a,Q32,My supervisor â¦ Makes time for frank conversations about my career    [numeric],My supervisor â¦ Makes time for frank conversations about my career,1,High-stress,1194,2.8685092127303182,0
v092_num,Q32.b,Q32,My supervisor â¦ Is open to the idea of me pursuing a career outside academia [numeric],My supervisor â¦ Is open to the idea of me pursuing a career outside academia,0,Non-high-stress,2058,2.49757045675413,1
v092_num,Q32.b,Q32,My supervisor â¦ Is open to the idea of me pursuing a career outside academia [numeric],My supervisor â¦ Is open to the idea of me pursuing a career outside academia,1,High-stress,1194,2.8040201005025125,1
v093_num,Q32.c,Q32,My supervisor â¦ Has useful advice for careers outside academia [numeric],My supervisor â¦ Has useful advice for careers outside academia,0,Non-high-stress,2058,3.4096209912536444,2
v093_num,Q32.c,Q32,My supervisor â¦ Has useful advice for careers outside academia [numeric],My supervisor â¦ Has useful advice for careers outside academia,1,High-stress,1194,3.146566164154104,2
v094_num,Q32.d,Q32,My supervisor â¦ Has encouraged me to attend career training and events [numeric],My supervisor â¦ Has encouraged me to attend career training and events,0,Non-high-stress,2058,2.927113702623907,3
v094_num,Q32.d,Q32,My supervisor â¦ Has encouraged me to attend career training and events [numeric],My supervisor â¦ Has encouraged me to attend career training and events,1,High-stress,1194,3.234505862646566,3
v097_num,Q35.a,Q35,Mental health and wellbeing services in my university are tailored and appropriate to the needs of graduate students [numeric],Mental health and wellbeing services in my university are tailored and appropriate to the needs of graduate students,0,Non-high-stress,2051,3.1813749390541197,4
v097_num,Q35.a,Q35,Mental health and wellbeing services in my university are tailored and appropriate to the needs of graduate students [numeric],Mental health and wellbeing services in my university are tailored and appropriate to the needs of graduate students,1,High-stress,1190,3.011764705882353,4
v098_num,Q35.b,Q35,My supervisor has a good awareness of support services and was able to signpost me to them if needed [numeric],My supervisor has a good awareness of support services and was able to signpost me to them if needed,0,Non-high-stress,2049,3.6310395314787702,5
v098_num,Q35.b,Q35,My supervisor has a good awareness of support services and was able to signpost me to them if needed [numeric],My supervisor has a good awareness of support services and was able to signpost me to them if needed,1,High-stress,1188,2.8156565656565657,5
v099_num,Q35.c,Q35,My university offers adequate one-to-one mental health support [numeric],My university offers adequate one-to-one mental health support,0,Non-high-stress,2047,3.241817293600391,6
v099_num,Q35.c,Q35,My university offers adequate one-to-one mental health support [numeric],My university offers adequate one-to-one mental health support,1,High-stress,1186,3.093591905564924,6
v100_num,Q35.d,Q35,"My university offers different types of support to promote mental health and wellbeing beyond one-to-one support (e.g. workshops, seminars, activities) [numeric]","My university offers different types of support to promote mental health and wellbeing beyond one-to-one support (e.g. workshops, seminars, activities)",0,Non-high-stress,2049,2.831137140068326,7
v100_num,Q35.d,Q35,"My university offers different types of support to promote mental health and wellbeing beyond one-to-one support (e.g. workshops, seminars, activities) [numeric]","My university offers different types of support to promote mental health and wellbeing beyond one-to-one support (e.g. workshops, seminars, activities)",1,High-stress,1188,3.008417508417508,7
v101_num,Q35.e,Q35,My university supports good work-life balance [numeric],My university supports good work-life balance,0,Non-high-stress,2049,2.8003904343582233,8
v101_num,Q35.e,Q35,My university supports good work-life balance [numeric],My university supports good work-life balance,1,High-stress,1185,2.8708860759493673,8
v102_num,Q35.f,Q35,"There is a long-hours culture at my university, including sometimes working through the night      [numeric]","There is a long-hours culture at my university, including sometimes working through the night",0,Non-high-stress,2053,3.113005358012664,9
v102_num,Q35.f,Q35,"There is a long-hours culture at my university, including sometimes working through the night      [numeric]","There is a long-hours culture at my university, including sometimes working through the night",1,High-stress,1191,2.397984886649874,9
